,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Mitch Heuer,Male,White,,,No?,5/20/2022,Maya,"“My thing on election security is that I’m going to have to remain optimistic that the system we have in place is accurate,” he said. “I just don’t have good information either way. I just have to have faith that it’s a good system.”",No,No,Montana,6/7/2022,Representative,1,"1,953",2%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Matt Jette,Male,White,,,No,3/2/2023,Nathaniel,"""The longer we spend on fraudulent elections, the more we spend on conspiracy theories of vaccines, the less time we have to find common ground, to work across the aisle and find solutions.”",No,No,Montana,6/7/2022,Representative,1,"4,973",6%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
"Al ""Doc"" Olszewski",Male,White,,,?,3/8/2023,Kaleigh,questioned changes made to voting rules in some states,No,No,Montana,6/7/2022,Representative,1,"33,927",40%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mary Todd,Female,White,,,Yes,5/20/2022,Maya,"“Do I think the election was stolen? Absolutely, I think we have the proof,” Todd told the crowd. “… Yes I think this election was stolen and who in their right mind would allow a baby to be stolen and not try to get it back.”",No,No,Montana,6/7/2022,Representative,1,"8,915",10%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Ryan K. Zinke,Male,White,,,?,12/1/2022,N/A (checked against interactive),Raised questions ,No,No,Montana,6/7/2022,Representative,1,"35,601",42%,Won,N/A,N/A,N/A,Yes,7/8/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Kyle Austin,Male,White,,,N/A,5/25/2022,N/A (they are N/A),,No,Yes,Montana,6/7/2022,Representative,2,"11,930",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Boyette,Male,White,,,N/A,5/25/2022,N/A (they are N/A),"Has election integrity on platform and raised conspiracy theories about Biden trying to ""push through the ability to allow Non-U.S. citizens (primarily illegal immigrants) the ability to vote""",No,Yes,Montana,6/7/2022,Representative,2,"5,712",6%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Rosendale,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"Voted not to certify. Said there were ""“widespread, credible allegations of fraud and irregularities in many states.”",Yes,No,Montana,6/7/2022,Representative,2,"73,453",76%,Won,N/A,N/A,N/A,Yes,11/15/2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Charles A. Walking Child,Male,Native American,,,N/A,5/25/2022,N/A (they are N/A),,No,Yes,Montana,6/7/2022,Representative,2,"5,909",6%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Carlin,Male,White,,,Yes,3/2/2023,Nathaniel,"Said most Iowan GOP senators believe election was stolen, chose to run against Grassley because he didn't investigate fraud, repeated claims of dead people voting",No,Yes,Iowa,6/7/2022,Senator,N/A,"51,891",26%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Chuck Grassley,Male,White,,,No,12/1/2022,N/A (checked against interactive),"Voted to certify, said Biden is president",Yes,No,Iowa,6/7/2022,Senator,N/A,"143,634",72%,Won,N/A,N/A,N/A,Yes,10/9/2021,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Mariannette Miller-Meeks,Female,White,,,No?,12/1/2022,N/A (checked against interactive),"Said she had ""serious concerns"" but voted to certify, supported a J6 panel",Yes,No,Iowa,6/7/2022,Representative,1,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,
Ashley Hinson,Female,White,,,No,12/1/2022,N/A (checked against interactive),Said Iowa elections were secure and voted to certify.,Yes,No,Iowa,6/7/2022,Representative,2,1,100%,Won,N/A,N/A,N/A,Yes,6/5/2022,N/A,N/A,N/A,N/A,Yes,Yes,Yes,
Nicole Hasso,Female,Black,,,N/A,5/25/2022,N/A (they are N/A),,No,No,Iowa,6/7/2022,Representative,3,"8,991",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Leffler,Male,White,,,Yes,3/8/2023,Kaleigh,Attended the Jan 6 rally and marched up steps of Capitol,No,No,Iowa,6/7/2022,Representative,3,"6,800",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Zach Nunn,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),Nothing about 2020 or Biden legitimacy: ,No,No,Iowa,6/7/2022,Representative,3,"30,502",66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Randy Feenstra,Male,White,,,No?,12/1/2022,N/A (checked against interactive),voted to certify the elections but called for hearings into election integrity,Yes,No,Iowa,6/7/2022,Representative,4,1,0%,Won,N/A,N/A,N/A,Yes,6/5/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kim Reynolds,Female,White,,,No?,12/1/2022,N/A (checked against interactive),"voted to certify but said there were ""a lot of questions"" about election",Yes,No,Iowa,6/7/2022,Governor,N/A,1,100%,Won,N/A,N/A,N/A,Yes,6/5/2022,N/A,Yes,N/A,N/A,N/A,Yes,N/A,
John R. Thune,Male,White,,,No,12/1/2022,N/A (checked against interactive),"Has said Republicans need to ""move on"" from 2020; said there was no fraud in 2020 and praised efforts to go against Trump's investigative efforts",Yes,No,South Dakota,6/7/2022,Senator,N/A,"85,613",72%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Bruce Whalen,Male,Native American,,,Yes,5/25/2022,Maya,Has been speaking at Big Lie events and allegedly said election was stolen,No,Yes,South Dakota,6/7/2022,Senator,N/A,"24,071",20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mark Mowry,Male,White,,,Yes,3/2/2023,Nathaniel,Attended the Jan 6 rally and said he is running because of Thune's unwillingness to question the 2020 election,No,Yes,South Dakota,6/7/2022,Senator,N/A,"8,827",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Dusty Johnson,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Says it wasn't stolen but also says there were ""inconsistencies""",Yes,No,South Dakota,6/7/2022,Representative,At-Large,"70,728",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Taffy Howard,Female,White,,,Yes,3/8/2023,Kaleigh,"signed Wendy Rogers' ""audit all 50 states"" letter. She's criticized Dusty Johnson for not objection to 2020 results."" And though claims that voter fraud led to Biden's victory have been widely discredited, Howard still insists there was widespread voter fraud in the 2020 election. She has made ""election integrity"" a tenet of her campaign."" Plus she proposed the state's voter integrity bill and was pushing to audit all 50 states in that, too: https://apnews.com/article/elections-voting-presidential-elections-south-dakota-sd-state-wire-b9b3be4705dbfcee0e81fb6f8dbc6be3",No,Yes,South Dakota,6/7/2022,Representative,At-Large,"48,645",41%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steven Haugaard,Male,White,,,?,5/25/2022,Maya,Seems to have suggested there was fraud,No,Yes,South Dakota,6/7/2022,Governor,N/A,"28,315",24%,Lost,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Kristi Noem,Female,White,,,?,12/1/2022,N/A (checked against interactive),"She called election systems ""rigged"" and has dodged direct questions since",Yes,No,South Dakota,6/7/2022,Governor,N/A,"91,661",76%,Won,N/A,N/A,N/A,Yes,2/8/2022,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Damon M. Galdo,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,1,"6,034",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Claire Gustafson,Female,White,,,N/A,12/1/2022,N/A (checked against interactive),"Just not much here, and not about 2020 in particular",No,No,New Jersey,6/7/2022,Representative,1,"13,411",69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeff Van Drew,Male,White,,,No?,12/1/2022,N/A (checked against interactive),Voted not to certify but then acknowledged Biden,Yes,No,New Jersey,6/7/2022,Representative,2,"35,843",86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Barker,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,Yes,New Jersey,6/7/2022,Representative,2,"3,217",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sean Pignatelli,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,Yes,New Jersey,6/7/2022,Representative,2,"2,601",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nicholas J. Ferrara,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,3,"2,956",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob Healey,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,3,"17,560",53%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ian A. Smith,Male,White,,,Yes,3/2/2023,Nathaniel,"""Gym owner Ian Smith urged Donald Trump supporters to march on Washington to protest what he called a stolen election.""",No,No,New Jersey,6/7/2022,Representative,3,"12,709",38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christopher H. Smith,Male,White,,,No?,12/1/2022,N/A (checked against interactive),Voted for certification but made noise about voter fraud,Yes,No,New Jersey,6/7/2022,Representative,4,"33,136",58%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Blasi,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,Yes,New Jersey,6/7/2022,Representative,4,751,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Crispi,Male,White,,,Yes,3/8/2023,Kaleigh,"""The 2020 election was the greatest crime in the history of our country.""",No,Yes,New Jersey,6/7/2022,Representative,4,"21,115",37%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Gray,Male,White,,,Yes,3/2/2023,Nathaniel,"Tweeted, ""If you think rising gas prices are Putin’s fault, then you probably think Biden won the election.""",No,Yes,New Jersey,6/7/2022,Representative,4,"2,305",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nick De Gregorio,Male,White,,,No,3/8/2023,Kaleigh,“Joe Biden is unequivocally the president of the United States.”,No,No,New Jersey,6/7/2022,Representative,5,"14,560",46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Frank T. Pallotta,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,5,"16,021",50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Fred Schneiderman,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,5,629,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sab Skenderi,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,5,712,2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Susan M. Kiley,Female,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,6,"10,076",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rik Mehta,Male,Asian,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,6,"4,735",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas Toomey,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,6,"2,913",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin B. Dorlon,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,7,"2,237",4%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Flora,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,7,"3,051",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Henry Isemann,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,7,"2,732",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Thomas H. Kean Jr.,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,7,"25,111",46%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Erik Peterson,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,7,"8,493",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Philip Rizzo,Male,White,,,N/A,5/24/2022,Maya,"""You should be able to trust the results of an election. Sadly, that trust has been broken.""",No,No,New Jersey,6/7/2022,Representative,7,"12,988",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Sterling I. Schwab,Male,White,,,N/A,5/24/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,7,429,1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Marcos Arroyo,Male,Latino,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,8,"3,127",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Billy Prempeh,Male,Black,,,?,12/1/2022,N/A (checked against interactive),"Also tweeted in summer 2020, ""Are you really going to sit there and pretend we don't have voter fraud?""",No,No,New Jersey,6/7/2022,Representative,9,"10,724",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David H. Pinckney,Male,Unknown,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,New Jersey,6/7/2022,Representative,10,"3,581",82%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Garth Stewart,Male,White,,,N/A,5/25/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,10,760,18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Toby Anderson,Male,White,,,N/A,5/25/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,11,"6,385",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul DeGroot,Male,White,,,?,12/1/2022,N/A (checked against interactive),"Shared article called ""In 2020, Vote Fraud Claims Were Not 'Baseless'""",No,No,New Jersey,6/7/2022,Representative,11,"12,644",12%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alexander R. Halter,Male,White,,,?,3/2/2023,Nathaniel,Several tweets strongly imply he is a believer,No,No,New Jersey,6/7/2022,Representative,11,"70,109",69%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ruth McAndrew,Female,White,,,N/A,5/25/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,11,"1,325",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tayfun Selen,Male,Middle Eastern (Turkish),,,N/A,5/25/2022,N/A (they are N/A),,No,No,New Jersey,6/7/2022,Representative,11,"11,364",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darius Mayfield,Male,Black,,,Yes,12/1/2022,N/A (checked against interactive),"Mayfield was among a group of GOP activists who argued that that the election was stolen from Trump, an allegation that has not been corroborated with evidence.

“Biden won the FEWEST amount of counties of ANY President EVER but received the MOST votes ever. Rolling on the floor laughing Yea ok! They “steal” Thinking face won’t clarify which counties he ACTUALLY won,” Mayfield wrote on Twitter.",No,No,New Jersey,6/7/2022,Representative,12,"13,514",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James P. Bradley,Male,White,,,Yes,3/8/2023,Kaleigh,Sued to overturn 2020 election; has maintained there's national fraud for years,No,No,California,6/7/2022,Senator,N/A,"235,788",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jon Elist,Male,Middle Eastern (Iranian),,,N/A,5/23/2022,Maya,"Mentions ""election integrity"" as an issue on his website, but does not discuss the 2020 race or Biden's legitimacy",No,No,California,6/7/2022,Senator,N/A,"289,716",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Myron L. Hall,Male,Black,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Senator,N/A,"66,161",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sarah Sun Liew,Female,Asian,,,?,3/2/2023,Nathaniel,"On FB page said ""I don’t think we need to relitigate the 2020 election but we certainly will NOT fall for the Democrats’ trick a second time of changing voting norms and letting everybody get a ballot in the mail and vote at home or vote in the car or vote on the bus, or wherever, because it just makes it TOO EASY TO CHEAT. And we will NOT allow that to happen again. That’s all I’ll say.""",No,No,California,6/7/2022,Senator,N/A,"76,994",3%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert George Lucero Jr.,Male,Latino,,,No?,3/8/2023,Kaleigh,"""I don’t think we totally know but I accept the results. I do believe Hillary Clinton and the DNC should apologize to voters for promoting the Russian involvement fraud in 2016.""",No,No,California,6/7/2022,Senator,N/A,"53,398",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark P. Meuser,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),"Has crusaded for ""election integrity"" and against fraud for years. Said there was no significant fraud in California affecting elections in 2020 or 2018. (starting 16:40)",No,No,California,6/7/2022,Senator,N/A,"1,028,374",40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Enrique Petris,Male,Latino,,,N/A,5/24/2022,N/A (they are N/A),,No,No,California,6/7/2022,Senator,N/A,"31,883",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chuck Smith,Male,White,,,Yes,Late May,Maya,"""Yes, I believe it was illegitimate. There are investigations that have been released recently, ""2000 Mules"" and "" Rigged"", that support the 2020 election as illegitimate.""",No,No,California,6/7/2022,Senator,N/A,"266,766",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carlos Guillermo Tapia,Male,Latino (Mexican),,,N/A,5/24/2022,N/A (they are N/A),,No,No,California,6/7/2022,Senator,N/A,"33,870",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cordie Williams,Male,White,,,Yes,3/2/2023,Nathaniel,"Posted on Insta, ""ELECTION FRAUD IS REAL! 2020 was stolen from us!"" There's also this tweet.",No,No,California,6/7/2022,Senator,N/A,"474,321",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James P. Bradley,Male,White,,,Yes,3/8/2023,Kaleigh,Sued to overturn 2020 election,No,No,California,6/7/2022,Senator (unexpired term),N/A,"472,052",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jon Elist,Male,Middle Eastern (Iranian),,,N/A,5/23/2022,Maya,"Mentions ""election integrity"" as an issue on his website, but does not discuss the 2020 race or Biden's legitimacy",No,No,California,6/7/2022,Senator (unexpired term),N/A,"403,722",16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Myron L. Hall,Male,Black,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Senator (unexpired term),N/A,"143,038",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark P. Meuser,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),"Has crusaded for ""election integrity"" and against fraud for years",No,No,California,6/7/2022,Senator (unexpired term),N/A,"1,503,480",60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tim Geist,Male,White,,,N/A,5/23/2022,N/A (they are N/A),,No,Yes,California,6/7/2022,Representative,1,"11,408",11%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Doug LaMalfa,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),"voted to overturn, but not seeing any statements about the election elsewhere",Yes,No,California,6/7/2022,Representative,1,"96,858",89%,Won,N/A,N/A,N/A,Yes,6/5/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Douglas Brower,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,California,6/7/2022,Representative,2,"18,102",35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Coulombe,Male,White,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Representative,2,"17,498",34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darian J. Elizondo,Male,Latino (Mexican),,,Declined to answer,3/2/2023,Nathaniel,"""Good Afternoon, Oh, election seasons can be challenging, I imagine equally so for a journalist! Now the 2020 election is quite the powder keg, isn’t it? The truth of the matter is, that it’s over, and regardless of any argument of its validity it's now moot, we simply have to focus on the future. I'm much more concerned with the outcome of the 2022 midterms! But one thing I will say is the most American thing to do is to ask questions of our government, and those questions that people might have about the 2020 election deserved to be at the very least asked, even if not answered. I cannot say I’m comfortable with any debate being buried, it is the prerogative of the people to question the validity of anything that impacts their daily lives. We appreciate being included in this dialogue and should there be any other questions you might have, my team and I are always more than happy to answer! And of course, if you have any more questions about our campaign itself, you can always visit www.elizondoforcongress2022.com and I’ve included an attachment of our platform and proposed strategies if you feel so inclined. Cheers,  - Darian J. Elizondo""",No,No,California,6/7/2022,Representative,2,"4,012",8%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Archimedes Ramirez,Male,Asian (Filipino),,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Representative,2,"12,202",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Jones,Male,White,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Representative,3,"38,288",29%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Kiley,Male,White,,,?,12/1/2022,N/A (checked against interactive),"“Well, it depends what you mean by legitimate,” Kiley, a Rocklin assemblyman, said at the debate hosted by KCRA3 and CapRadio. “There’s a political answer but there’s my honest answer and my honest answer is I don’t know. It depends who you watch, which newscast you watch,” said Jones, the Sacramento County sheriff.",No,No,California,6/7/2022,Representative,3,"93,552",71%,Won,N/A,N/A,N/A,Yes,5/14/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Brock,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,California,6/7/2022,Representative,4,"28,260",59%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Giblin,Male,White,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Representative,4,"16,914",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jimih L. Jones,Male,Black,,,N/A,5/23/2022,N/A (they are N/A),,No,No,California,6/7/2022,Representative,4,"2,363",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
