,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Camille Lombardi-Olive,Female,white,,,N/A,no website,Mary,7/30/24,No,Yes,Missouri,8/6/24,Representative,7,,3400,3.54%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Audrey Richards,Female,white,,,No mention,"has issues and about, but doesnt mention this issue",Mary,7/30/24,No,Yes,Missouri,8/6/24,Representative,7,,6444,6.72%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Grant Heithold,Male,white,,,Pro-Life,,Mary,7/30/24,No,Yes,Missouri,8/6/24,Representative,8,,10149,8.51%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Jason Smith,Male,white,,,Pro-Life,,Mary,7/30/24,Yes,No,Missouri,8/6/24,Representative,8,H4MO08162,98171,82.28%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
James Snider,Male,white,,,Pro-Life,,Mary,7/30/24,No,Yes,Missouri,8/6/24,Representative,8,,10987,9.21%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John R. (Jay) Ashcroft,Male,white,,,Pro-Life,,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,162314,23.25%,Lost,N/A,N/A,N/A,Yes,7/27/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Eigel,Male,white,,,Pro-Life,,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,227257,32.55%,Lost,N/A,N/A,N/A,Yes,7/27/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darren L. Grant,Male,black,,,N/A,no website,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,1871,0.27%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeremy Gundel,Male,white,,,N/A,no website,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,2951,0.42%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Kehoe,Male,white,,,Pro-Life,,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,275139,39.41%,Won,N/A,N/A,N/A,Yes,7/27/24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darrell Leon McClanahan III,Male,white,,,Pro-Life,,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,5656,0.81%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert James Olson,Male,white,,,N/A,no website,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,2985,0.43%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Amber Thomsen,Female,white,,,N/A,no website,Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,10653,1.53%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Wright,Male,white,,,Pro-Life,"note: has issues dropdown menu rather than full page, but includes ""Pro-Life"" on that menu",Mary,7/30/24,No,No,Missouri,8/6/24,Governor,N/A,,9376,1.34%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Josh Hawley,Male,white,,,No mention,"does not have separate issues/about pages, no mention on home page",Mary,7/30/24,Yes,No,Missouri,8/6/24,Senator,N/A,S8MO00160,607602,100.00%,Won,N/A,N/A,N/A,Yes,5/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Derek Chartrand,Male,white,,,No mention,"has issues, no mention ",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,1,,6980,10.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Party: Calm Rational GOP
Jeb Brewer,Male,white,,,No mention,has issues (solutions) no mention ,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,1,,17675,27.80%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary Silva,Female,white,,,No mention,no issues,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,1,,11339,17.83%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Orion Webster,Male,white,,,Pro-Life,"on abortion page (WARNING: Graphic images), mentions protecting life, unborn, etc. ",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,1,,16770,26.38%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Heines,Male,white,,,No mention,no issues or about pages,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,1,,10815,17.01%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Party: Trump Republican
Cody Hart,Male,white,,,Pro-Life,has issues on home page,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,2,,43637,55.41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Party: MAGA Republican
Leif Johnson,Male,white,,,No mention,"""comprehensive plan"" section. doesnt mention",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,2,,23340,29.64%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daniel Miller,Male,white,,,N/A,no website,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,2,,11781,14.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Kent,Male,white,,,No mention,no issues page,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,3,,83389,76.32%,Won,N/A,N/A,N/A,Yes,7/28/24,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,
Leslie Lewallen,Female,white,,,Pro-Life,"under ""a personal statement from Leslie"" on the issues page, she says that she is pro-life and supports exceptions for rape and incest, and life of mother",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,3,,25868,23.68%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,
Dan Newhouse,Male,white,,,Pro-Life,,Meredith,7/31/24,Yes,No,Washington,8/6/24,Representative,4,H4WA04104,36073,30.87%,Made runoff,,,,No,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,
Jerrod Sessler,Male,white,,,Other,"has a video called ""life"" for his issue positions, which wasn't very straightforward. Because we don't usually watch the videos (only use text), will classify based on only the title of the video",Meredith,7/31/24,No,Yes,Washington,8/6/24,Representative,4,,51020,43.66%,Made runoff,,,,Yes,4/12/24,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Tiffany Smiley,Female,white,,,No mention,no issues on page,Meredith,7/31/24,No,Yes,Washington,8/6/24,Representative,4,,29761,25.47%,Lost,N/A,N/A,N/A,Yes,8/3/24,N/A,N/A,N/A,No,No,N/A,N/A,N/A,N/A,
Michael Baumgartner,Male,white,,,No mention,no issues on page,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,55859,45.02%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Jonathan D. Bingle,Male,white,,,No mention,,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,7510,6.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Brian Dansel,Male,white,,,No mention,no issues or about pages,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,21983,17.72%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Rene' Holaday,Female,white,,,No mention,"long ""CV"" and other things on the home page, but no mention of abortion",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,6180,4.98%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Jacquelin Maycumber,Female,white,,,No mention,"says ""Jacquelin’s unwavering conservative principles extend to her advocacy for human life"" but that's pretty vague",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,27717,22.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Rick Valentine Flynn,Male,white,,,Other,"seems to be pro-choice (without calling themselves as such). ""It is clear that taking away reproductive rights is only going to alienate voters and cost the Republican party elections.""",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,5,,4822,3.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Janis Clark,Female,black,,,Pro-Life,"""I believe in promoting policies that strengthen family values, support parents, and protect the sanctity of life.""",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,6,,17665,20.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Drew C. MacEwen,Male,white,,,No mention,has issues,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,6,,70513,79.97%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dan Alexander,Male,white,,,N/A,no website,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,7,,16902,62.66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cliff Moon,Male,white,,,No mention,,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,7,,10070,37.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Carmen Goers,Female,black,,,No mention,has issues,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,8,,94322,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Greene,Male,black,,,Pro-Life,,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,9,,9459,26.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Martin,Male,unknown,,,No mention,,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,9,,26646,73.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Don Hewett,Male,white,,,No mention,has issues,Meredith,7/31/24,No,No,Washington,8/6/24,Representative,10,,46258,69.60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nirav Sheth,Male,asian (indian),,,No mention,"has some issues on a carousel, but doesnt mention abortion",Meredith,7/31/24,No,No,Washington,8/6/24,Representative,10,,20208,30.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raul Garcia,Male,hispanic,,,No mention,"Has issues, no mention",Meredith,7/31/24,No,No,Washington,8/6/24,Senator,N/A,,431182,56.96%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Isaac A. Holyk,Male,white,,,No mention,"Has issues, no mention",Meredith,7/31/24,No,No,Washington,8/6/24,Senator,N/A,,110701,14.62%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Nazarino,Male,hispanic,,,No mention,,Meredith,7/31/24,No,No,Washington,8/6/24,Senator,N/A,,111386,14.71%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Goodspaceguy,Male,white,,,N/A,no website,Meredith,7/31/24,No,No,Washington,8/6/24,Senator,N/A,,16826,2.22%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mel Ram,Female,unknown,,,N/A,"not much of a website. At time of data collection, there was no mention of candidate name, race, etc. except in the actual URL",Meredith,7/31/24,No,No,Washington,8/6/24,Senator,N/A,,86956,11.49%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Semi Bird,Male,black,,,No mention,"has platform, but no mention",Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,212692,25.04%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
A.L. Brown,Male,unknown,,,N/A,no website,Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,4232,0.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Daniel,Male,white,,,No mention,"has platform, but no mention",Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,29907,3.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bill Hirt,Male,white,,,N/A,no website,Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,1720,0.20%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jennifer Hoover,Female,white,,,No mention,no issues page,Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,15692,1.85%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dave Reichert,Male,white,,,No mention,"has issues page and about page, neither mention",Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,541533,63.75%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leon A Lawson,Male,white,,,No mention,"I looked at all the pages, since they are not the typical headers; no mention",Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,35971,4.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Party: Trump Republican
Martin Lee Wheeler,Male,white,,,No mention,nothing on home or about pages,Meredith,8/1/24,No,No,Washington,8/6/24,Governor,N/A,,7676,0.90%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patrick C. Largey,Male,,,,No mention,"No issues or about page, no abortion terms on home page",Mary,8/6/24,No,No,Hawaii,8/10/24,Representative,1,,17368,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Steve Bond,Male,,,,No mention,"Has issues and about pages, no mention of abortion terms",Mary,8/6/24,No,No,Hawaii,8/10/24,Representative,2,,19627,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Melba Amaral,Female,,,,No mention,"No issues or about page, no abortion terms on home page",Mary,8/6/24,No,No,Hawaii,8/10/24,Senator,N/A,,7627,14.15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Dolan,Male,,,,N/A,no website,Mary,8/7/24,No,No,Hawaii,8/10/24,Senator,N/A,,4006,7.43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Adriel C. Lam,Male,,,,No mention,"no issues page, no mention on home or about pages",Mary,8/7/24,No,No,Hawaii,8/10/24,Senator,N/A,,8913,16.54%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob McDermott,Male,,,,Pro-Life,"hover over ""Cultural Issues""",Mary,8/7/24,No,No,Hawaii,8/10/24,Senator,N/A,,27961,51.87%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Arturo P. Reyes,Male,,,,N/A,no website,Mary,8/7/24,No,No,Hawaii,8/10/24,Senator,N/A,,3319,6.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emmanuel Tipon,Male,,,,No mention,"No issues or about page, no abortion terms on home page",Mary,8/7/24,No,No,Hawaii,8/10/24,Senator,N/A,,2075,3.85%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jim Griffin,Male,,,,N/A,website down it seems? ,Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,1,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike France,Male,,,,No mention,"no issues page, no mention on home or about pages",Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,2,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Massey,Male,Black,,,Other,"has issues page; abortion description isn't straightforward, but I think fits the ""other"" description best. ",Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Goldstein,Male,,,,No mention,"has videos and a list of issues on homepage that say his positions, but doesn't have one that looks related to abortion issues",Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,4,,4312,53.73%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bob MacGuffie,Male,,,,No mention,has issues but doesnt list this issue,Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,4,,3713,46.27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
George Logan,Male,Black,,,No mention,"has issues, but doesnt list",Meredith,8/10/24,No,No,Connecticut,8/13/24,Representative,5,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Matthew M. Corey,Male,,,,No mention,"has issues, but doesnt list",Meredith,8/10/24,No,No,Connecticut,8/13/24,Senator,N/A,,19228,54.74%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gerry Smith,Male,,,,No mention,"has issues, but doesnt list",Meredith,8/10/24,No,No,Connecticut,8/13/24,Senator,N/A,,15900,45.26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Brad Finstad,Male,,,,No mention,"No issues page, no mention on home or about pages",Mary,8/9/24,Yes,No,Minnesota,8/13/24,Representative,1,H2MN01223,30057,90.90%,Won,N/A,N/A,N/A,Yes,4/7/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Gregory A. Goetzman,Male,,,,N/A,No website,Mary,8/9/24,No,Yes,Minnesota,8/13/24,Representative,1,,1409,4.26%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Shawn Tweten,Male,,,,Other,"""Yes, abortion... and all the other issues that politicians are fighting about are important. IF we focus on loving our neighbor, these values will naturally follow.""",Mary,8/9/24,No,Yes,Minnesota,8/13/24,Representative,1,,1599,4.84%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Tayler J. Rahm,Male,,,,N/A,No website,Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,2,,5290,24.00%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Teirab,Male,Black (Sudanese),,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,2,,16748,76.00%,Won,N/A,N/A,N/A,Yes,8/3/24,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,
Tad Jude,Male,,,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,3,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May Lor Xiong,Female,Asian (Hmong),,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,4,,7777,63.05%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gene Rechtzigel,Male,,,,Pro-Life,"""Protecting peple from conception throughout life"" sounds like ""protect life"" to me, though it isn't an exact match",Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,4,,4558,36.95%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Dalia Al-Aqidi,Female,Middle Eastern (Iraqi),,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Representative,5,,3380,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Corey,Male,,,,N/A,No website,Mary,8/9/24,No,Yes,Minnesota,8/13/24,Representative,6,,3218,12.95%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Tom Emmer,Male,,,,No mention,,Mary,8/9/24,Yes,No,Minnesota,8/13/24,Representative,6,H4MN06087,21624,87.05%,Won,N/A,N/A,N/A,Yes,4/7/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Michelle Fischbach,Female,,,,Pro-Life,,Mary,8/9/24,Yes,No,Minnesota,8/13/24,Representative,7,H0MN07091,30458,64.66%,Won,N/A,N/A,N/A,Yes,3/21/24,N/A,N/A,N/A,Yes,Yes,N/A,Yes,Yes,N/A,
Steve Boyd,Male,,,,Pro-Life,,Mary,8/9/24,No,Yes,Minnesota,8/13/24,Representative,7,,16645,35.34%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,No,N/A,No,No,N/A,
Pete Stauber,Male,,,,Pro-Life,,Mary,8/9/24,Yes,No,Minnesota,8/13/24,Representative,8,H8MN08043,36928,90.51%,Won,N/A,N/A,N/A,Yes,4/7/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Harry R. Welty,Male,,,,N/A,No website,Mary,8/9/24,No,Yes,Minnesota,8/13/24,Representative,8,,3874,9.49%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
John Berman,Male,,,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,14158,7.29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Loner Blue,Male,,,,N/A,No website,Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,2727,1.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Fraser,Male,,,,No mention,,Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,56909,29.29%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alycia R. Gruenhagen,Female,,,,Pro-Life,,Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,15017,7.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Patrick D. Munro,Male,,,,Pro-Life,,Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,9444,4.86%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raymond D. Petersen,Male,,,,Other,"""Children need to be protected and cared for from the moment that they have developed to the point of having self awareness. This point is somewhere between conception and birth""",Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,16237,8.36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christopher Seymore Sr.,Male,,,,Other,"""Social issues are approached with compassion and respect for individual liberties, including a woman's right to make informed decisions about her body within the bounds of reason and morality""",Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,5020,2.58%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Royce White,Male,Black,Hispanic (Mexican),White (Norwegian and Welsh),Other,"""As moral and spiritual matter, I believe that life starts at conception. I defer to the judgment of legal scholars & experts of sending back to the states.""",Mary,8/9/24,No,No,Minnesota,8/13/24,Senator,N/A,,74814,38.50%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Coester,Male,white,,,No mention,"His issue positions are on a carosel, so I didn't save to the drive. I did save his ""about"".",Meredith,8/9/24,No,No,Vermont,8/13/24,Representative,1,,19459,97.25%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phil Scott,Male,white,,,No mention,No issue page ,Meredith,8/9/24,Yes,No,Vermont,8/13/24,Governor,N/A,,23173,98.10%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gerald Malloy,Male,white,,,No mention,,Meredith,8/9/24,No,No,Vermont,8/13/24,Senator,N/A,,20383,96.35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bryan Steil,Male,,,,Pro-Life,"says the SCOTUS decision is good bc gives choice to the states, but also says he supports federal bills, so I think pro-life. ",Meredith,8/9/24,Yes,No,Wisconsin,8/13/24,Representative,1,H8WI01156,52253,99.38%,Won,N/A,N/A,N/A,Yes,7/26/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Charity Barry,Female,,,,No mention,"about and issues, no mention",Meredith,8/9/24,No,No,Wisconsin,8/13/24,Representative,2,,17897,43.61%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Erik Olsen,Male,,,,No mention,,Meredith,8/9/24,No,No,Wisconsin,8/13/24,Representative,2,,23035,56.13%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
